ts_code,z1,z2,z3,z4,z5,z6,z7,z8
000001.SZ,9.637274,-10.986562,5.101516,0.6867273,-8.111346,-2.8002067,3.05472,1.589075
000002.SZ,29.674969,-41.657272,9.080655,-0.26079828,0.41356066,1.5252225,10.8293085,2.8437955
000006.SZ,2.747175,-2.5498483,2.5002477,0.5840876,-2.8036587,-1.7411859,1.9934723,-0.45595974
000007.SZ,8.638721,-5.4745097,6.2970953,2.1306489,-8.546226,-3.482708,3.6457858,0.6812555
000008.SZ,2.6793926,-1.9545083,1.5973285,-0.115532264,-2.4658637,-1.0023363,1.5693507,-0.0819515
000009.SZ,4.695584,-4.5420084,2.1760848,0.01801303,-3.609363,-1.4110096,2.0378113,-0.3576675
000010.SZ,2.1059992,-1.503907,2.2742262,0.34451678,-1.0917089,-0.8217761,2.2587237,-0.2861321
000011.SZ,1.7650353,-2.5298843,1.5516406,-0.21708862,-0.9924526,-0.87324095,2.012858,-0.8064827
000012.SZ,4.7534103,-3.2709837,2.1766267,0.14172971,-3.649742,-1.1974134,1.83319,0.24382807
000014.SZ,4.989388,-3.9919612,4.9679356,1.8398213,-5.0059423,-2.8827946,3.132393,-0.0062471777
000016.SZ,7.2921233,-5.227251,4.043769,-1.6969843,-4.156063,0.73965436,4.244748,2.496508
000017.SZ,2.7516,-2.0172346,3.2521966,1.2524054,-2.4729145,-1.7869947,2.4086213,-0.50571674
000019.SZ,7.605517,-5.3567786,5.6447988,2.1579702,-6.698491,-3.1503692,3.3651261,0.46825832
000020.SZ,3.9937263,-2.482031,2.7169836,1.0792015,-2.2991383,-1.358567,2.0025368,0.2118517
000021.SZ,7.7489767,-6.3169765,5.1598287,2.447029,-6.1360598,-3.2196584,2.82506,0.43837947
000025.SZ,7.2914653,-4.8510013,4.4034,1.4693856,-5.3300214,-2.1153967,2.864781,0.710705
000026.SZ,9.676846,-7.6731157,7.301351,3.2698743,-8.239255,-4.232392,4.0372057,0.52320087
000027.SZ,6.9332547,-5.174941,3.2743778,0.41651925,-5.718637,-1.7714689,2.4743075,0.17243917
000028.SZ,29.048147,-33.70019,17.328163,9.672045,-14.430959,-8.365993,9.18301,1.87636
000029.SZ,3.1463404,-2.1891055,3.1429079,1.0869756,-4.16983,-2.3629737,1.9748164,-0.2978159
000030.SZ,5.3466806,-4.158478,3.229634,1.3438818,-3.488433,-1.8289249,2.1458125,0.23282035
000031.SZ,5.8052,-7.6492944,1.9304662,-0.5520872,-2.3402824,-0.90307313,2.3916254,-0.052982375
000032.SZ,5.247605,-7.57328,3.204302,1.170917,-1.4720948,-1.582669,2.8916006,-0.9029115
000034.SZ,40.436428,-42.97962,21.716366,13.538079,-19.153215,-10.768312,10.494485,3.6659474
000035.SZ,4.18134,-2.8596573,1.7573262,-0.22439966,-3.7238162,-1.1000108,1.587589,0.2110578
000036.SZ,3.9229167,-3.0758615,3.5703428,0.78944516,-4.445566,-2.1962342,2.629002,-0.40475672
000037.SZ,3.635118,-2.6439111,2.8639402,0.3153818,-3.7952998,-1.6128588,2.33466,-0.20623377
000039.SZ,11.776528,-11.93667,5.8141155,2.666257,-6.261383,-2.9259942,3.457549,0.939449
000042.SZ,8.033278,-6.074161,4.832339,2.1794086,-6.170708,-2.927776,2.390131,1.4718592
000045.SZ,7.2380824,-5.3670616,4.9724965,1.8180399,-6.1642785,-2.8903406,3.0958757,0.2267576
000048.SZ,5.809098,-4.6394095,3.1559942,1.1302339,-3.6796503,-1.6308149,2.0740623,0.6491055
000049.SZ,14.801437,-15.644841,8.54659,4.773707,-8.230863,-4.5822477,4.446317,1.0794228
000050.SZ,8.994297,-7.942299,4.893072,1.6556823,-7.895109,-3.178077,2.6182675,0.8483061
000055.SZ,3.3766148,-2.631197,2.068751,0.12509823,-2.9358268,-1.268204,1.84188,-0.12584999
000056.SZ,2.8915374,-1.2670146,1.887918,-1.9785802,-3.2871792,0.47092348,2.4466085,1.2175103
000058.SZ,2.8094034,-2.01906,2.026603,0.17998049,-3.016049,-1.3971778,1.7243212,-0.2470392
000059.SZ,5.167046,-4.988286,2.3752506,0.4303551,-1.7845551,-0.7918028,2.3734555,-0.06810142
000060.SZ,8.24388,-6.128957,3.4534564,1.7810092,-3.9841077,-1.752043,2.1416187,0.82037014
000061.SZ,4.741521,-3.1819468,2.0701063,0.34347317,-3.265875,-1.1189952,1.6324477,0.4356174
000062.SZ,7.2478123,-6.9180465,4.2598996,2.24957,-4.2339597,-2.5458868,2.5268588,0.18789835
000063.SZ,17.507574,-20.3285,8.080835,1.8942628,-10.097138,-3.7433636,5.668017,0.89734954
000065.SZ,6.0493913,-5.4836674,3.8287,1.6760755,-4.3704424,-2.3960943,2.3190784,0.23115341
000066.SZ,4.3984,-4.0478315,2.4577417,0.4172428,-4.2943053,-2.0283427,1.8207183,-0.262339
000068.SZ,3.4480276,-2.1904619,2.0056193,-0.37633094,-3.1739023,-0.81419957,1.9343987,0.32447743
000069.SZ,9.856447,-13.784171,2.923877,-0.74212164,-1.664611,-0.2677339,3.7834115,0.47867525
000070.SZ,2.4269562,-1.6671026,1.1269994,-0.04320997,-1.9483485,-0.9070556,1.1963464,-0.14095387
000078.SZ,3.0739589,-2.817168,2.2032676,0.79757726,-1.149194,-1.1546092,1.9280027,-0.16468059
000088.SZ,6.0680475,-4.4164796,4.151943,0.28279993,-6.9933443,-2.4031334,3.0956588,-0.17566705
000089.SZ,7.121198,-4.5967717,3.9695754,0.30336913,-7.3017135,-2.2085655,2.8846722,0.18271996
000090.SZ,2.752439,-4.013649,1.8566229,0.31267545,-1.7171493,-1.3994482,1.8058031,-0.66651475
000096.SZ,5.1983438,-3.932994,3.7433593,1.2212358,-3.9110386,-1.9801395,2.6605434,0.060235575
000099.SZ,7.962055,-5.569644,5.206643,1.0513606,-8.916114,-3.2698653,3.285696,0.10905047
000100.SZ,6.5746884,-4.659589,2.7769394,0.025561512,-5.6138983,-1.5716658,2.2067723,0.30211955
000151.SZ,2.0009067,-1.6495049,2.0204904,0.3055431,-0.97398615,-0.8389975,2.042325,-0.2845204
000153.SZ,5.3791084,-3.8595808,2.6816468,1.0666604,-3.2083175,-1.4951291,1.8351841,0.41977465
000155.SZ,5.12947,-3.6956174,2.8642645,0.04678279,-5.507463,-1.8611779,2.2328153,-0.06705986
000156.SZ,4.647687,-4.044943,3.168972,0.82114935,-4.1191998,-1.982368,2.196979,0.104437605
000157.SZ,10.736163,-11.4158535,4.9199677,0.63334596,-8.050629,-3.1036506,3.6281843,0.08656986
000158.SZ,2.384039,-2.1414416,1.4859542,0.08211395,-1.400531,-0.8787132,1.6035634,-0.27464113
000159.SZ,4.398197,-3.1042254,2.920527,1.0466224,-2.7769456,-1.5274863,2.131421,0.21007983
000166.SZ,2.1580915,-1.6677744,1.2579657,0.11801243,-1.6258188,-0.96213675,1.2555295,-0.1611205
000301.SZ,6.569171,-3.6672027,2.1564133,0.7942883,-4.3499565,-1.2578819,1.0857755,1.473326
000333.SZ,28.087173,-30.925457,15.76239,6.5762463,-20.82114,-8.707764,7.543066,3.5180326
000338.SZ,12.8551445,-14.006646,6.803263,2.0414703,-10.474456,-4.2092476,3.736062,1.1510392
000400.SZ,7.568767,-7.082187,5.495951,2.9324136,-5.8972816,-3.6616356,2.8595443,0.28381884
000401.SZ,6.7365417,-5.424788,3.358659,0.775687,-5.153583,-1.8246701,2.315733,0.4419937
000402.SZ,7.9070086,-10.135603,3.03257,-0.6204958,-3.2106593,-0.887041,3.4512277,0.05122371
000403.SZ,5.6270547,-4.843515,4.292491,1.2248211,-4.7230988,-2.2665896,2.992859,0.06672408
000404.SZ,6.7973256,-5.942205,4.1029615,2.4857419,-4.5128913,-2.8664267,2.0796611,0.35194916
000407.SZ,5.274662,-3.3795316,2.6325414,0.7143508,-3.0430496,-1.0910469,2.0151482,0.58634967
000408.SZ,14.113041,-9.528854,9.207089,2.944432,-14.13922,-5.218547,5.057589,1.1303244
000409.SZ,3.1855347,-2.485195,3.5469136,1.1699003,-2.8114564,-1.9053259,2.6679082,-0.38462293
000410.SZ,4.2750707,-3.042613,2.7101614,1.581458,-2.6740975,-2.0049663,1.8048661,-0.41376603
000411.SZ,13.773727,-14.83022,7.450167,4.8458476,-6.4476476,-4.340223,3.8275661,0.62783396
000415.SZ,5.7059984,-3.9242325,2.974187,-0.8227991,-5.522636,-1.0212595,2.810163,0.45798087
000417.SZ,4.268135,-3.8302717,2.3923013,0.57923436,-3.019249,-1.4093585,1.8637103,0.015760168
000419.SZ,6.1062474,-4.393871,3.9455986,0.9640868,-5.814482,-2.370734,2.6314654,0.19090886
000420.SZ,3.5770626,-2.0500543,1.4973738,0.086168736,-1.9365484,-0.60278004,1.4580454,0.418791
000421.SZ,5.462338,-3.8949819,3.2832737,1.3042046,-4.5799174,-2.1483228,1.908841,0.4563716
000422.SZ,8.94283,-7.2725964,3.3735776,0.8833488,-5.154515,-1.4131308,2.363109,0.9398871
000423.SZ,10.417778,-9.41602,8.065181,3.864046,-9.4793625,-5.132896,4.086075,0.51628685
000425.SZ,6.594511,-7.1687994,2.8491702,0.6546308,-2.970172,-1.3845872,2.4255319,0.137852
000426.SZ,8.181225,-5.3609324,3.6750422,1.2419083,-5.9362464,-2.009399,2.1845298,1.0181271
000428.SZ,2.851294,-1.7734096,1.5826062,-0.2524947,-1.5047907,-0.3686647,1.8187698,0.23930134
000429.SZ,13.938937,-8.698916,9.114564,1.7579024,-15.474312,-4.7833595,5.4916058,0.9535348
000430.SZ,7.1026654,-3.514828,2.6031725,-0.44973195,-3.387678,0.24203962,2.6743073,1.4819428
000488.SZ,5.108018,-1.8478498,4.409287,0.006717384,-1.3471836,0.6131452,4.4750285,1.1626351
000498.SZ,10.313869,-11.749538,4.9915485,2.5721698,-4.9729395,-2.9080708,3.0446916,0.24729963
