ts_code,cluster
000001.SZ,4
000002.SZ,2
000006.SZ,7
000007.SZ,0
000008.SZ,7
000009.SZ,7
000010.SZ,7
000011.SZ,7
000012.SZ,7
000014.SZ,0
000016.SZ,0
000017.SZ,7
000019.SZ,0
000020.SZ,7
000021.SZ,0
000025.SZ,0
000026.SZ,4
000027.SZ,0
000028.SZ,2
000029.SZ,7
000030.SZ,7
000031.SZ,7
000032.SZ,7
000034.SZ,3
000035.SZ,7
000036.SZ,7
000037.SZ,7
000039.SZ,4
000042.SZ,0
000045.SZ,0
000048.SZ,7
000049.SZ,4
000050.SZ,0
000055.SZ,7
000056.SZ,7
000058.SZ,7
000059.SZ,7
000060.SZ,0
000061.SZ,7
000062.SZ,0
000063.SZ,2
000065.SZ,0
000066.SZ,7
000068.SZ,7
000069.SZ,0
000070.SZ,7
000078.SZ,7
000088.SZ,0
000089.SZ,0
000090.SZ,7
000096.SZ,7
000099.SZ,0
000100.SZ,0
000151.SZ,7
000153.SZ,7
000155.SZ,7
000156.SZ,7
000157.SZ,4
000158.SZ,7
000159.SZ,7
000166.SZ,7
000301.SZ,7
000333.SZ,2
000338.SZ,4
000400.SZ,0
000401.SZ,0
000402.SZ,0
000403.SZ,0
000404.SZ,0
000407.SZ,7
000408.SZ,4
000409.SZ,7
000410.SZ,7
000411.SZ,4
000415.SZ,7
000417.SZ,7
000419.SZ,0
000420.SZ,7
000421.SZ,7
000422.SZ,0
000423.SZ,4
000425.SZ,0
000426.SZ,0
000428.SZ,7
000429.SZ,4
000430.SZ,7
000488.SZ,7
000498.SZ,4
000501.SZ,7
000503.SZ,7
000504.SZ,7
000505.SZ,7
000506.SZ,7
000507.SZ,7
000509.SZ,7
000510.SZ,7
000513.SZ,4
000514.SZ,7
000516.SZ,7
000517.SZ,7
000518.SZ,0
000519.SZ,7
000520.SZ,7
000521.SZ,0
000523.SZ,7
000524.SZ,0
000525.SZ,7
000526.SZ,0
000528.SZ,0
000529.SZ,7
000530.SZ,7
000531.SZ,7
000532.SZ,0
000533.SZ,7
000534.SZ,7
000536.SZ,7
000537.SZ,0
000538.SZ,4
000539.SZ,7
000541.SZ,7
000543.SZ,0
000544.SZ,7
000545.SZ,7
000546.SZ,0
000547.SZ,7
000548.SZ,7
000550.SZ,4
000551.SZ,0
000552.SZ,7
000553.SZ,0
000554.SZ,0
000555.SZ,7
000557.SZ,0
000558.SZ,7
000559.SZ,7
000560.SZ,7
000561.SZ,7
000563.SZ,7
000564.SZ,7
000565.SZ,7
000566.SZ,7
000567.SZ,0
000568.SZ,2
000570.SZ,7
000571.SZ,7
000572.SZ,7
000573.SZ,7
000576.SZ,7
000581.SZ,4
000582.SZ,0
000586.SZ,7
000589.SZ,7
000590.SZ,7
000591.SZ,0
000592.SZ,7
000593.SZ,7
000595.SZ,7
000596.SZ,2
000597.SZ,7
000598.SZ,7
000599.SZ,7
000600.SZ,0
000601.SZ,7
000603.SZ,7
000605.SZ,7
000607.SZ,7
000608.SZ,0
000609.SZ,0
000610.SZ,7
000612.SZ,0
000615.SZ,7
000617.SZ,4
000619.SZ,0
000620.SZ,7
000623.SZ,4
000625.SZ,4
000626.SZ,3
000628.SZ,7
000629.SZ,0
000630.SZ,0
000631.SZ,0
000632.SZ,7
000633.SZ,7
000635.SZ,7
000636.SZ,0
000637.SZ,7
000638.SZ,7
000639.SZ,7
000650.SZ,0
000651.SZ,2
000652.SZ,7
000655.SZ,0
000656.SZ,7
000657.SZ,7
000659.SZ,7
000661.SZ,2
000663.SZ,7
000665.SZ,7
000669.SZ,2
000670.SZ,7
000672.SZ,7
000676.SZ,0
000677.SZ,7
000678.SZ,7
000679.SZ,7
000680.SZ,7
000681.SZ,0
000682.SZ,7
000683.SZ,7
000685.SZ,7
000686.SZ,7
000688.SZ,7
000690.SZ,0
000691.SZ,7
000692.SZ,2
000695.SZ,5
000697.SZ,4
000698.SZ,7
000700.SZ,7
000701.SZ,4
000702.SZ,7
000703.SZ,0
000705.SZ,0
000707.SZ,0
000708.SZ,0
000709.SZ,0
000710.SZ,7
000711.SZ,7
000712.SZ,7
000713.SZ,7
000715.SZ,7
000716.SZ,7
000717.SZ,0
000718.SZ,7
000719.SZ,0
000720.SZ,7
000721.SZ,7
000722.SZ,4
000723.SZ,7
000725.SZ,4
000726.SZ,0
000727.SZ,7
000728.SZ,7
000729.SZ,0
000731.SZ,0
000733.SZ,4
000735.SZ,7
000736.SZ,3
000737.SZ,7
000738.SZ,0
000739.SZ,0
000750.SZ,7
000751.SZ,7
000752.SZ,0
000753.SZ,7
000755.SZ,0
000756.SZ,0
000757.SZ,0
000758.SZ,7
000759.SZ,7
000761.SZ,7
