ts_code,cluster
000001.SZ,2
000002.SZ,5
000006.SZ,2
000007.SZ,0
000008.SZ,2
000009.SZ,1
000010.SZ,2
000011.SZ,2
000012.SZ,1
000014.SZ,0
000016.SZ,2
000017.SZ,0
000019.SZ,0
000020.SZ,2
000021.SZ,0
000025.SZ,1
000026.SZ,0
000027.SZ,1
000028.SZ,6
000029.SZ,0
000030.SZ,2
000031.SZ,2
000032.SZ,2
000034.SZ,6
000035.SZ,1
000036.SZ,0
000037.SZ,0
000039.SZ,2
000042.SZ,2
000045.SZ,0
000048.SZ,1
000049.SZ,6
000050.SZ,1
000055.SZ,1
000056.SZ,2
000058.SZ,2
000059.SZ,2
000060.SZ,1
000061.SZ,1
000062.SZ,2
000063.SZ,6
000065.SZ,2
000066.SZ,2
000068.SZ,1
000069.SZ,2
000070.SZ,2
000078.SZ,2
000088.SZ,1
000089.SZ,1
000090.SZ,2
000096.SZ,0
000099.SZ,1
000100.SZ,1
000151.SZ,2
000153.SZ,2
000155.SZ,1
000156.SZ,2
000157.SZ,2
000158.SZ,2
000159.SZ,2
000166.SZ,2
000301.SZ,1
000333.SZ,6
000338.SZ,1
000400.SZ,0
000401.SZ,1
000402.SZ,1
000403.SZ,0
000404.SZ,2
000407.SZ,1
000408.SZ,1
000409.SZ,0
000410.SZ,2
000411.SZ,6
000415.SZ,1
000417.SZ,2
000419.SZ,1
000420.SZ,1
000421.SZ,2
000422.SZ,1
000423.SZ,0
000425.SZ,2
000426.SZ,1
000428.SZ,2
000429.SZ,1
000430.SZ,1
000488.SZ,2
000498.SZ,2
000501.SZ,1
000503.SZ,0
000504.SZ,2
000505.SZ,2
000506.SZ,2
000507.SZ,1
000509.SZ,2
000510.SZ,1
000513.SZ,0
000514.SZ,0
000516.SZ,1
000517.SZ,0
000518.SZ,0
000519.SZ,0
000520.SZ,2
000521.SZ,2
000523.SZ,1
000524.SZ,2
000525.SZ,1
000526.SZ,1
000528.SZ,2
000529.SZ,1
000530.SZ,2
000531.SZ,1
000532.SZ,1
000533.SZ,2
000534.SZ,1
000536.SZ,2
000537.SZ,1
000538.SZ,0
000539.SZ,1
000541.SZ,0
000543.SZ,1
000544.SZ,1
000545.SZ,2
000546.SZ,1
000547.SZ,0
000548.SZ,0
000550.SZ,6
000551.SZ,0
000552.SZ,1
000553.SZ,2
000554.SZ,1
000555.SZ,2
000557.SZ,0
000558.SZ,1
000559.SZ,2
000560.SZ,1
000561.SZ,0
000563.SZ,0
000564.SZ,1
000565.SZ,1
000566.SZ,2
000567.SZ,0
000568.SZ,0
000570.SZ,0
000571.SZ,2
000572.SZ,2
000573.SZ,0
000576.SZ,1
000581.SZ,0
000582.SZ,1
000586.SZ,0
000589.SZ,2
000590.SZ,1
000591.SZ,1
000592.SZ,0
000593.SZ,1
000595.SZ,1
000596.SZ,6
000597.SZ,2
000598.SZ,1
000599.SZ,2
000600.SZ,1
000601.SZ,1
000603.SZ,1
000605.SZ,1
000607.SZ,1
000608.SZ,1
000609.SZ,2
000610.SZ,2
000612.SZ,1
000615.SZ,1
000617.SZ,5
000619.SZ,2
000620.SZ,2
000623.SZ,1
000625.SZ,2
000626.SZ,6
000628.SZ,2
000629.SZ,1
000630.SZ,1
000631.SZ,0
000632.SZ,2
000633.SZ,1
000635.SZ,1
000636.SZ,0
000637.SZ,1
000638.SZ,2
000639.SZ,2
000650.SZ,0
000651.SZ,6
000652.SZ,2
000655.SZ,0
000656.SZ,2
000657.SZ,2
000659.SZ,2
000661.SZ,0
000663.SZ,0
000665.SZ,1
000669.SZ,2
000670.SZ,2
