stock_code,cluster,method,tag,score,dim,value,rank_in_group
001270.SZ,,latent_extreme,z1_bottom,1.2299662,z1,1.2299662,1
300157.SZ,,latent_extreme,z1_bottom,1.303575,z1,1.303575,2
002893.SZ,,latent_extreme,z1_bottom,1.3173246,z1,1.3173246,3
688022.SH,,latent_extreme,z1_bottom,1.364363,z1,1.364363,4
000972.SZ,,latent_extreme,z1_bottom,1.444165,z1,1.444165,5
600641.SH,,latent_extreme,z1_bottom,1.5222424,z1,1.5222424,6
600322.SH,,latent_extreme,z1_bottom,1.5735309,z1,1.5735309,7
002198.SZ,,latent_extreme,z1_bottom,1.6003081,z1,1.6003081,8
002564.SZ,,latent_extreme,z1_bottom,1.604115,z1,1.604115,9
300338.SZ,,latent_extreme,z1_bottom,1.6074243,z1,1.6074243,10
002069.SZ,,latent_extreme,z1_top,120.755455,z1,120.755455,1
600519.SH,,latent_extreme,z1_top,101.93196,z1,101.93196,2
689009.SH,,latent_extreme,z1_top,97.658295,z1,97.658295,3
000695.SZ,,latent_extreme,z1_top,96.780754,z1,96.780754,4
002670.SZ,,latent_extreme,z1_top,96.05695,z1,96.05695,5
601668.SH,,latent_extreme,z1_top,87.542816,z1,87.542816,6
002862.SZ,,latent_extreme,z1_top,74.268845,z1,74.268845,7
300750.SZ,,latent_extreme,z1_top,73.362404,z1,73.362404,8
300972.SZ,,latent_extreme,z1_top,66.64497,z1,66.64497,9
600941.SH,,latent_extreme,z1_top,65.62086,z1,65.62086,10
600519.SH,,latent_extreme,z2_bottom,-121.3966,z2,-121.3966,1
601668.SH,,latent_extreme,z2_bottom,-112.22981,z2,-112.22981,2
689009.SH,,latent_extreme,z2_bottom,-102.49848,z2,-102.49848,3
600048.SH,,latent_extreme,z2_bottom,-82.95304,z2,-82.95304,4
300750.SZ,,latent_extreme,z2_bottom,-79.59235,z2,-79.59235,5
000813.SZ,,latent_extreme,z2_bottom,-75.345795,z2,-75.345795,6
603268.SH,,latent_extreme,z2_bottom,-73.57391,z2,-73.57391,7
601061.SH,,latent_extreme,z2_bottom,-72.987,z2,-72.987,8
002069.SZ,,latent_extreme,z2_bottom,-71.288605,z2,-71.288605,9
600153.SH,,latent_extreme,z2_bottom,-71.2238,z2,-71.2238,10
002670.SZ,,latent_extreme,z2_top,21.784811,z2,21.784811,1
000959.SZ,,latent_extreme,z2_top,2.6356494,z2,2.6356494,2
600552.SH,,latent_extreme,z2_top,1.2673914,z2,1.2673914,3
688319.SH,,latent_extreme,z2_top,0.50649387,z2,0.50649387,4
000656.SZ,,latent_extreme,z2_top,-0.039563715,z2,-0.039563715,5
300322.SZ,,latent_extreme,z2_top,-0.40838045,z2,-0.40838045,6
300746.SZ,,latent_extreme,z2_top,-0.6558043,z2,-0.6558043,7
002052.SZ,,latent_extreme,z2_top,-0.6821746,z2,-0.6821746,8
600753.SH,,latent_extreme,z2_top,-0.879544,z2,-0.879544,9
300338.SZ,,latent_extreme,z2_top,-1.0818802,z2,-1.0818802,10
603268.SH,,latent_extreme,z3_bottom,-26.976425,z3,-26.976425,1
302132.SZ,,latent_extreme,z3_bottom,-8.707084,z3,-8.707084,2
000595.SZ,,latent_extreme,z3_bottom,-2.1463218,z3,-2.1463218,3
600753.SH,,latent_extreme,z3_bottom,0.4798613,z3,0.4798613,4
600661.SH,,latent_extreme,z3_bottom,0.50799215,z3,0.50799215,5
688132.SH,,latent_extreme,z3_bottom,0.5185615,z3,0.5185615,6
002742.SZ,,latent_extreme,z3_bottom,0.6173991,z3,0.6173991,7
688506.SH,,latent_extreme,z3_bottom,0.81327045,z3,0.81327045,8
002564.SZ,,latent_extreme,z3_bottom,0.84723413,z3,0.84723413,9
002055.SZ,,latent_extreme,z3_bottom,0.84861815,z3,0.84861815,10
002670.SZ,,latent_extreme,z3_top,146.01218,z3,146.01218,1
000695.SZ,,latent_extreme,z3_top,95.00241,z3,95.00241,2
002069.SZ,,latent_extreme,z3_top,67.954254,z3,67.954254,3
601061.SH,,latent_extreme,z3_top,62.450768,z3,62.450768,4
600519.SH,,latent_extreme,z3_top,58.862278,z3,58.862278,5
689009.SH,,latent_extreme,z3_top,57.15145,z3,57.15145,6
920092.BJ,,latent_extreme,z3_top,55.19569,z3,55.19569,7
603021.SH,,latent_extreme,z3_top,47.057674,z3,47.057674,8
002862.SZ,,latent_extreme,z3_top,42.43037,z3,42.43037,9
000692.SZ,,latent_extreme,z3_top,40.41445,z3,40.41445,10
000695.SZ,,latent_extreme,z4_bottom,-23.018812,z4,-23.018812,1
002816.SZ,,latent_extreme,z4_bottom,-16.754908,z4,-16.754908,2
002313.SZ,,latent_extreme,z4_bottom,-14.308831,z4,-14.308831,3
301448.SZ,,latent_extreme,z4_bottom,-13.836336,z4,-13.836336,4
600082.SH,,latent_extreme,z4_bottom,-11.856868,z4,-11.856868,5
002670.SZ,,latent_extreme,z4_bottom,-9.019521,z4,-9.019521,6
600955.SH,,latent_extreme,z4_bottom,-8.242658,z4,-8.242658,7
000980.SZ,,latent_extreme,z4_bottom,-7.357362,z4,-7.357362,8
300198.SZ,,latent_extreme,z4_bottom,-6.338706,z4,-6.338706,9
002069.SZ,,latent_extreme,z4_bottom,-5.724586,z4,-5.724586,10
601061.SH,,latent_extreme,z4_top,69.43448,z4,69.43448,1
689009.SH,,latent_extreme,z4_top,36.21955,z4,36.21955,2
000813.SZ,,latent_extreme,z4_top,33.532608,z4,33.532608,3
920092.BJ,,latent_extreme,z4_top,31.858892,z4,31.858892,4
300972.SZ,,latent_extreme,z4_top,23.982325,z4,23.982325,5
603444.SH,,latent_extreme,z4_top,22.719246,z4,22.719246,6
600519.SH,,latent_extreme,z4_top,22.160038,z4,22.160038,7
000906.SZ,,latent_extreme,z4_top,21.553043,z4,21.553043,8
688115.SH,,latent_extreme,z4_top,19.251081,z4,19.251081,9
002862.SZ,,latent_extreme,z4_top,19.040339,z4,19.040339,10
000695.SZ,,latent_extreme,z5_bottom,-128.46922,z5,-128.46922,1
002670.SZ,,latent_extreme,z5_bottom,-113.38867,z5,-113.38867,2
002069.SZ,,latent_extreme,z5_bottom,-105.56431,z5,-105.56431,3
002196.SZ,,latent_extreme,z5_bottom,-75.46886,z5,-75.46886,4
600941.SH,,latent_extreme,z5_bottom,-72.53581,z5,-72.53581,5
300641.SZ,,latent_extreme,z5_bottom,-57.221256,z5,-57.221256,6
600519.SH,,latent_extreme,z5_bottom,-56.83022,z5,-56.83022,7
689009.SH,,latent_extreme,z5_bottom,-56.06302,z5,-56.06302,8
000736.SZ,,latent_extreme,z5_bottom,-55.74714,z5,-55.74714,9
