pc,explained_var_ratio,cum_explained_var_ratio
PC1,0.1391125809156026,0.1391125809156026
PC2,0.09555979138330853,0.23467237229891114
PC3,0.0942646648170402,0.32893703711595135
PC4,0.07995605970104158,0.40889309681699293
PC5,0.05970315698093424,0.4685962537979272
PC6,0.05685080974147757,0.5254470635394047
PC7,0.04858797690348746,0.5740350404428922
PC8,0.042812659969228666,0.6168477004121209
PC9,0.03648178233335016,0.6533294827454711
PC10,0.036089377405584426,0.6894188601510555
PC11,0.03445977779133194,0.7238786379423874
PC12,0.03150749227379471,0.7553861302161821
PC13,0.030606986925496033,0.7859931171416781
PC14,0.029570834187270873,0.815563951328949
PC15,0.024790388954543184,0.8403543402834922
PC16,0.02367763899966789,0.8640319792831601
PC17,0.021215691318027398,0.8852476706011875
PC18,0.0208523341554783,0.9061000047566657
PC19,0.017149425972023274,0.923249430728689
PC20,0.01630987580073754,0.9395593065294265
